Id,company,date,state,event,nr_flag
1,AirBusan,2010-01-01,NR,,0
2,AirBusan,2011-01-01,NR,,0
3,AirBusan,2012-01-01,NR,,0
4,AirBusan,2013-01-01,NR,,0
5,AirBusan,2014-01-01,NR,,0
6,AirBusan,2015-01-01,BBB+,,0
7,AirBusan,2016-01-01,BBB-,,0
8,AirBusan,2017-01-01,AA,,0
9,AirBusan,2018-01-01,BBB-,,0
10,AirBusan,2019-01-01,BBB-,,0
11,AirBusan,2020-01-01,NR,,0
12,AirBusan,2021-01-01,NR,,0
13,AirBusan,2022-01-01,NR,,0
14,AirBusan,2023-01-01,NR,,0
15,AirBusan,2024-01-01,NR,,0
16,AirBusan,2025-01-01,NR,,0
17,AsianaAirlines,2010-01-01,BBB+,,0
18,AsianaAirlines,2011-01-01,BBB+,,0
19,AsianaAirlines,2012-01-01,BBB+,,0
20,AsianaAirlines,2013-01-01,BBB+,,0
21,AsianaAirlines,2014-01-01,BBB+,,0
22,AsianaAirlines,2015-01-01,BBB+,,0
23,AsianaAirlines,2016-01-01,BBB-,,0
24,AsianaAirlines,2017-01-01,BBB-,,0
25,AsianaAirlines,2018-01-01,BBB-,,0
26,AsianaAirlines,2019-01-01,BBB-,,0
27,AsianaAirlines,2020-01-01,BBB-,,0
28,AsianaAirlines,2021-01-01,BBB-,,0
29,AsianaAirlines,2022-01-01,BBB-,,0
30,AsianaAirlines,2023-01-01,BBB-,,0
31,AsianaAirlines,2024-01-01,BBB-,,0
32,AsianaAirlines,2025-01-01,BBB-,,0
33,JejuAir,2010-01-01,NR,,0
34,JejuAir,2011-01-01,NR,,0
35,JejuAir,2012-01-01,NR,,0
36,JejuAir,2013-01-01,NR,,0
37,JejuAir,2014-01-01,NR,,0
38,JejuAir,2015-01-01,BBB+,,0
39,JejuAir,2016-01-01,NR,,0
40,JejuAir,2017-01-01,NR,,0
41,JejuAir,2018-01-01,BBB+,,0
42,JejuAir,2019-01-01,NR,,0
43,JejuAir,2020-01-01,BBB,,0
44,JejuAir,2021-01-01,BBB,,0
45,JejuAir,2022-01-01,BBB,,0
46,JejuAir,2023-01-01,BBB,,0
47,JejuAir,2024-01-01,BBB,,0
48,JejuAir,2025-01-01,BBB,,0
49,KoreanAir,2010-01-01,A,,0
50,KoreanAir,2011-01-01,A,,0
51,KoreanAir,2012-01-01,A,,0
52,KoreanAir,2013-01-01,A,,0
53,KoreanAir,2014-01-01,BBB+,,0
54,KoreanAir,2015-01-01,BBB+,,0
55,KoreanAir,2016-01-01,BBB,,0
56,KoreanAir,2017-01-01,BBB,,0
57,KoreanAir,2018-01-01,BBB+,,0
58,KoreanAir,2019-01-01,BBB+,,0
59,KoreanAir,2020-01-01,BBB+,,0
60,KoreanAir,2021-01-01,A-,,0
61,KoreanAir,2022-01-01,A-,,0
62,KoreanAir,2023-01-01,A-,,0
63,KoreanAir,2024-01-01,A-,,0
64,KoreanAir,2025-01-01,A,,0
65,TwayAir,2010-01-01,NR,,0
66,TwayAir,2011-01-01,NR,,0
67,TwayAir,2012-01-01,NR,,0
68,TwayAir,2013-01-01,NR,,0
69,TwayAir,2014-01-01,NR,,0
70,TwayAir,2015-01-01,NR,,0
71,TwayAir,2016-01-01,NR,,0
72,TwayAir,2017-01-01,NR,,0
73,TwayAir,2018-01-01,NR,,0
74,TwayAir,2019-01-01,BB-,,0
75,TwayAir,2020-01-01,NR,,0
76,TwayAir,2021-01-01,BB-,,0
77,TwayAir,2022-01-01,BB-,,0
78,TwayAir,2023-01-01,BB-,,0
79,TwayAir,2024-01-01,NR,,0
80,TwayAir,2025-01-01,B+,,0
